date_col,home,away,score,points,home-adv,referee
2021-01-14,arsenal,crystal palace,0–0,1,1,Andre Marriner
2021-01-18,arsenal,newcastle united,3–0,3,1,David Coote
2021-01-26,southampton,arsenal,1–3,3,0,Kevin Friend
2021-01-30,arsenal,manchester united,0–0,1,1,Michael Oliver
2021-02-02,wolverhampton wanderers,arsenal,2–1,0,0,Craig Pawson
2021-02-06,aston villa,arsenal,1–0,0,0,Chris Kavanagh
2021-02-14,arsenal,leeds united,4–2,3,1,Stuart Attwell
2021-02-21,arsenal,manchester city,0–1,0,1,Jonathan Moss
2021-02-28,leicester city,arsenal,1–3,3,0,Paul Tierney
2021-03-06,burnley,arsenal,1–1,1,0,Andre Marriner
2021-03-14,arsenal,tottenham hotspur,2–1,3,1,Michael Oliver
2021-03-21,west ham united,arsenal,3–3,1,0,Jonathan Moss
2021-04-03,arsenal,liverpool,0–3,0,1,Stuart Attwell
2021-04-11,sheffield united,arsenal,0–3,3,0,Peter Bankes
2021-04-18,arsenal,fulham,1–1,1,1,Craig Pawson
2021-04-23,arsenal,everton,0–1,0,1,Jonathan Moss
2021-05-02,newcastle united,arsenal,0–2,3,0,Mike Dean
2021-05-09,arsenal,west bromwich albion,3–1,3,1,Peter Bankes
2021-05-12,chelsea,arsenal,0–1,3,0,Andre Marriner
2021-05-19,crystal palace,arsenal,1–3,3,0,Anthony Taylor
2021-05-23,arsenal,brighton hove albion,2–0,3,1,Jonathan Moss
